aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6730962,OK,371337,2025,1,0,1,0,0
6730975,OK,370015,2024,0,1,1,0,0
6730980,OK,370158,2024,0,1,0,0,0
6731030,OK,371336,2023,0,0,0,0,0
6731080,OK,370049,2025,0,0,1,1,0
6731089,OK,371328,2025,0,0,1,0,0
6731120,OK,370089,2025,1,0,1,0,0
6731160,OK,371304,2025,1,1,1,0,1
6731180,OK,370001,2024,0,1,1,0,0
6731215,OK,370091,2023,0,0,0,0,0
6731255,OK,370166,2024,0,0,0,0,0
6731260,OK,371302,2025,1,1,1,0,1
6731275,OK,371311,2024,1,1,1,1,0
6731283,OK,371323,2025,0,1,1,1,0
6739105,OK,370112,2024,1,0,1,1,0
6739125,OK,370078,2023,0,1,1,0,0
6739149,OK,,2025,0,0,1,0,0
6740020,TX,450229,2024,0,0,1,0,0
6740025,TX,450403,2025,1,0,0,1,0
6740030,TX,450133,2025,1,0,0,0,1
6740038,TX,453306,2023,1,1,1,0,1
6740040,TX,450828,2025,1,1,1,0,1
6740046,TX,450775,2025,1,0,1,1,0
6740050,TX,451378,2025,0,0,0,0,0
6740091,TX,450346,2024,1,0,1,0,0
6740092,TX,450083,2022,1,1,1,0,1
6740093,TX,450809,2025,1,0,0,1,0
6740095,TX,450713,2025,1,0,0,1,0
6740103,TX,451320,2025,0,0,1,0,0
6740108,TX,450064,2025,1,1,1,0,0
6740115,TX,450675,2025,1,0,0,1,0
6740117,TX,450222,2025,1,0,1,1,0
6740119,TX,450801,2025,1,1,1,0,1
6740125,TX,450389,2022,1,1,1,0,1
6740129,TX,450571,2025,0,1,0,0,0
6740136,TX,450010,2025,1,1,1,1,0
6740137,TX,450231,2022,1,1,1,0,0
6740138,TX,450820,2025,1,1,1,0,1
6740149,TX,450617,2025,1,0,1,1,0
6740151,TX,450822,2025,1,0,0,1,0
6740172,TX,450808,2025,0,0,0,0,0
6740190,TX,450431,2025,1,0,0,1,0
6740196,TX,450831,2024,0,0,0,0,1
6740204,TX,450844,2025,1,1,1,0,1
6740206,TX,450840,2025,1,1,1,0,0
6740209,TX,450833,2025,0,1,0,0,0
6740214,TX,450419,2025,1,1,1,0,0
6740215,TX,451328,2024,1,0,1,1,0
6740219,TX,451319,2025,1,1,1,0,1
6740222,TX,453315,2025,1,1,1,0,1
6740224,TX,450855,2025,0,0,1,0,1
6740226,TX,451310,2024,1,1,1,0,1
6740232,TX,450869,2023,0,0,0,0,0
6740235,TX,450465,2024,0,0,0,0,0
6740243,TX,450424,2025,1,1,1,0,1
6740248,TX,450862,2025,1,0,1,0,1
6740258,TX,450034,2025,1,1,1,0,1
6740263,TX,450196,2025,1,0,0,0,0
6740265,TX,450872,2025,0,0,0,0,1
6740280,TX,450639,2025,1,1,1,0,0
6740291,TX,450874,2023,1,0,0,0,0
6740295,TX,450082,2025,1,1,1,0,1
6740313,TX,450883,2023,0,1,0,0,0
6740316,TX,450518,2023,1,0,0,0,1
6740327,TX,451301,2025,0,0,0,0,0
6740330,TX,450891,2025,1,1,1,0,0
6740343,TX,450044,2025,1,1,0,1,0
6740363,TX,670023,2025,1,1,0,0,1
6740370,TX,451370,2025,1,1,0,0,0
6740371,TX,450889,2025,1,0,1,0,0
6740379,TX,450688,2025,0,0,1,0,1
6740387,TX,,2023,0,1,1,0,0
6740388,TX,670044,2025,1,1,1,0,0
6740400,TX,451369,2025,1,0,0,0,0
6740402,TX,670031,2025,1,0,1,0,1
6740417,TX,670055,2025,1,0,1,1,0
6740418,TX,670053,2025,1,0,1,0,1
6740420,TX,451348,2024,0,0,0,0,0
6740428,TX,671302,2025,0,0,0,0,1
6740450,TX,450399,2025,0,0,1,0,0
6740455,TX,450662,2025,1,0,1,1,0
6740460,TX,450028,2023,1,0,0,0,0
6740465,TX,450587,2025,1,0,1,1,0
6740500,TX,450011,2025,1,0,1,0,1
6740506,TX,451305,2025,1,0,1,0,1
6740550,TX,670060,2025,1,0,1,0,0
6740559,TX,670310,2023,0,0,0,1,0
6740560,TX,671301,2025,1,0,1,0,0
