aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6231900,PA,390111,2025,1,1,1,1,0
6231970,PA,390195,2025,1,1,1,1,0
6231980,PA,390304,2025,0,0,1,0,1
6232030,PA,390204,2024,1,1,1,0,1
6232170,PA,390223,2025,1,1,1,1,0
6232210,PA,393307,2025,1,1,1,0,1
6232390,PA,390127,2025,1,1,1,0,1
6232430,PA,393302,2025,1,1,1,0,1
6232510,PA,390028,2025,1,1,1,0,1
6232540,PA,390107,2025,1,1,1,0,1
6232551,PA,390267,2025,1,1,1,1,0
6232575,PA,390228,2023,1,0,1,0,1
6232610,PA,390102,2025,1,1,1,0,1
6232690,PA,390090,2025,1,1,1,1,0
6232725,PA,390270,2025,1,1,1,0,1
6232770,PA,390123,2025,1,1,1,0,1
6232800,PA,390030,2025,1,1,1,1,0
6232820,PA,390035,2023,1,1,0,0,1
6232920,PA,390062,2025,1,1,0,1,0
6232970,PA,390079,2023,1,1,1,0,1
6232980,PA,390001,2025,1,1,1,0,1
6233000,PA,390237,2024,1,0,0,0,0
6233090,PA,390057,2023,0,0,1,0,0
6233140,PA,390039,2025,0,0,0,0,0
6233170,PA,391317,2025,1,1,0,0,0
6233220,PA,390032,2025,1,1,1,1,0
6233280,PA,390041,2025,1,1,1,1,0
6233320,PA,390042,2025,1,0,1,1,0
6233360,PA,390138,2025,1,1,1,1,0
6233370,PA,390150,2025,1,0,1,1,0
6233380,PA,391316,2025,1,1,1,0,1
6233400,PA,390179,2025,1,1,1,1,0
6233430,PA,390153,2025,1,1,1,1,0
6233443,PA,390044,2025,1,1,1,0,1
6233500,PA,390045,2025,1,1,1,0,1
6233520,PA,390112,2025,0,0,0,0,1
6233549,PA,390101,2023,1,1,1,0,1
6233550,PA,390046,2025,1,1,1,1,0
6239183,PA,390068,2023,1,1,1,0,1
6310007,DE,080004,2025,1,1,1,0,1
6310030,DE,080007,2025,1,0,1,0,1
6310080,DE,080006,2024,1,1,1,0,1
6310120,DE,080001,2023,1,1,1,0,1
6310140,DE,080003,2024,1,1,1,0,1
6320003,MD,210061,2022,0,0,1,0,0
6320008,MD,210060,2023,1,0,1,0,0
6320020,MD,210023,2025,1,1,1,0,1
6320050,MD,210029,2025,1,1,1,1,0
6320090,MD,210013,2022,1,1,1,0,1
6320120,MD,210015,2025,1,0,1,1,0
6320125,MD,210044,2025,1,1,1,1,0
6320127,MD,210056,2025,1,0,1,1,0
6320180,MD,210009,2025,1,1,1,1,0
6320200,MD,210038,2025,1,1,1,1,0
6320206,MD,210027,2024,1,1,1,0,1
6320220,MD,210008,2025,1,1,1,0,1
6320260,MD,210063,2025,1,1,1,1,0
6320280,MD,210012,2025,1,1,1,1,0
6320290,MD,210034,2025,1,0,1,1,0
6320310,MD,210024,2025,1,0,1,1,0
6320330,MD,210002,2025,1,1,1,1,0
6320350,MD,210022,2025,1,1,1,1,0
6320391,MD,210065,2024,0,1,1,0,1
6320395,MD,210016,2023,1,0,1,0,0
6320416,MD,210062,2025,1,0,1,1,0
6320420,MD,210030,2025,1,1,1,1,0
6320460,MD,210048,2025,1,1,1,1,0
6320480,MD,210037,2025,1,1,1,1,0
6320500,MD,210032,2023,1,1,1,0,1
6320515,MD,210049,2025,1,1,1,1,0
6320540,MD,210005,2025,0,1,1,0,1
6320569,MD,210043,2025,1,1,1,1,0
6320580,MD,210001,2025,1,1,1,1,0
6320590,MD,210006,2022,1,1,1,0,0
6320610,MD,210003,2025,1,1,1,1,0
6320640,MD,210035,2025,1,1,1,1,0
6320645,MD,210051,2025,1,1,1,0,1
6320670,MD,210028,2025,1,0,1,1,0
6320685,MD,210017,2025,1,1,1,1,0
6320690,MD,210018,2025,1,0,1,1,0
6320730,MD,210039,2025,0,0,1,0,1
6320735,MD,210040,2025,1,1,1,1,0
6320775,MD,210057,2023,1,0,1,0,0
6320785,MD,210019,2023,1,1,1,0,1
6320813,MD,210004,2024,0,1,1,0,1
6320880,MD,210033,2025,1,1,1,1,0
6330030,DC,093300,2025,1,0,1,0,1
6330100,DC,090003,2023,0,0,1,0,0
6330120,DC,090011,2025,1,0,1,1,0
6330130,DC,090004,2025,1,0,1,1,0
6330210,DC,090005,2025,1,1,1,1,0
6340005,VA,490018,2025,1,0,1,1,0
6340008,VA,490048,2025,1,0,1,1,0
6340009,VA,490112,2025,1,0,1,1,0
6340010,VA,490053,2023,1,1,1,0,1
