term,estimate,conventional_se,conventional_p_value,conventional_conf_low,conventional_conf_high,robust_se_hc1,statistic_hc1,robust_p_value_hc1,robust_conf_low_hc1,robust_conf_high_hc1
mstateLA,-1.9482867382762026,1.329095537424921,0.14335412422228055,-4.560020410788299,0.6634469342358937,1.9242932253486276,-1.0124687405284754,0.3118371409438249,-5.729611158465835,1.8330376819134304
mstateMA,-2.90012503108901,1.2158136303650013,0.0174604606102824,-5.28925456204481,-0.5109955001332094,1.8377107425339483,-1.5781183425472824,0.11521407349284418,-6.511310902581897,0.711060840403877
mstateMD,-2.7828280668938374,1.3030765834212077,0.033231887458997855,-5.343433301771796,-0.22222283201587922,1.845119992699772,-1.5082098063562874,0.13217558697906762,-6.4085734546903,0.8429173209026248
mstateME,-1.8270230397217635,1.40888049375405,0.19534222327301237,-4.595537809707422,0.941491730263895,1.974680225030163,-0.9252247612363951,0.3553258349777948,-5.707360224622117,2.0533141451785895
mstateMI,-1.7787393430678402,1.1668577730109826,0.1280882530338371,-4.0716683696069955,0.5141896834713151,1.8191493029507586,-0.9777863423209017,0.3286851638712013,-5.353451134703654,1.7959724485679742
mstateMN,-1.6041441366584668,1.7698423153357188,0.36520282398959014,-5.0819654368147615,1.8736771634978282,2.1111248021115143,-0.759852821137825,0.44772515709966,-5.752601171758203,2.5443128984412695
mstateMO,-2.109836892723315,1.7569938148487276,0.23042765350318614,-5.562410300295321,1.3427365148486907,2.5851196726562113,-0.8161467010753343,0.4148314417006035,-7.189715581978991,2.9700417965323607
mstateMS,-2.4382817891722595,1.4699486930858092,0.09783556698511556,-5.326798370933956,0.45023479258943633,1.8127756989787145,-1.3450543222451317,0.17925910935274542,-6.000469156761556,1.1239055784170366
mstateMT,-1.8545771563518434,1.3271289611809096,0.162944750364872,-4.462446416373323,0.753292103669637,1.9342193516047899,-0.9588246311428594,0.33814216985125756,-5.65540686976596,1.946252557062273
mstateNC,-2.1079340785933565,1.1668992713015245,0.07149178982555812,-4.4009446511762,0.18507649398948667,1.827298591099833,-1.1535794362565626,0.249261422803856,-5.698659595101935,1.482791437915222
mstateND,-1.9922207777458179,2.2150937558276023,0.36891046159533036,-6.3449815740652,2.3605400185735643,1.804697938212212,-1.1039081585693902,0.27020024327258646,-5.538534975048766,1.5540934195571297
mstateNE,-2.2543829119686603,1.5680377982814306,0.1511847713256222,-5.335649083005428,0.8268832590681083,2.5088543338616467,-0.8985706669142077,0.36934345283061865,-7.184396713587122,2.675630889649802
mstateNH,-1.6888515550425418,1.4876789862661821,0.2568617830417961,-4.612208975870185,1.2345058657851022,2.07652589535266,-0.8133062818153399,0.4164560437074023,-5.769320151937691,2.391617041852608
mstateNJ,-1.8638939589102586,1.3619075766520916,0.17178385895904863,-4.540104792996024,0.812316875175507,1.856980174202222,-1.003723133291397,0.3160307583045897,-5.512945147170146,1.7851572293496287
mstateNM,1.1195875405773477,2.212786329945003,0.613121009408663,-3.2286390580830107,5.4678141392377055,1.8009447802768348,0.6216667789254753,0.5344637052653285,-2.4193515292933974,4.658526610448093
