term,estimate,hc3_se,hc3_statistic,hc3_p_value,hc3_conf_low,hc3_conf_high
mstateSC,-0.23874956768984187,0.27666377031681827,-0.8629592787535593,0.3884856591772795,-0.7820361098659384,0.3045369744862546
mstateSD,-0.1165556348498107,0.23151867477602958,-0.5034394524008322,0.6148299292607271,-0.5711904434632579,0.33807917376363644
mstateTN,0.4156536387359878,0.3421111004747476,1.2149668284928061,0.22483031010615795,-0.2561522742830691,1.0874595517550447
mstateTX,0.02743153624120295,0.221954240084804,0.12359095384130504,0.9016782640395486,-0.4084215264092124,0.46328459889161827
mstateUT,0.029843799627637183,0.22218374815314776,0.13432035365190761,0.8931918199542348,-0.4064599495897588,0.4661475488450331
mstateVA,-0.04989079348841493,0.24850002870919863,-0.20076775744279077,0.8409444621170877,-0.5378720032199236,0.43809041624309375
mstateWA,-0.0746431142826832,0.22511257428518325,-0.3315812744787938,0.7403148644536832,-0.5166982194513351,0.3674119908859687
mstateWI,0.16564508918997065,0.24864765521631169,0.6661839985817171,0.5055354421313958,-0.3226260157254688,0.6539161941054101
mstateWV,-0.012200383053447016,0.31608652628740586,-0.03859823826325851,0.9692228383150069,-0.6329016613541405,0.6085008952472464
mstateWY,0.04926901776011253,0.27467101661072135,0.17937465105733835,0.8577007539093859,-0.4901043403038965,0.5886423758241215
year2024,-0.011964512990074382,0.04304761700551675,-0.27793670875070914,0.7811514138153999,-0.09649741357574397,0.07256838759559521
